interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
8400.00,8700.00,cross_junction_ratmalana_general,155,117.35,215,6049,AGGREGATED,1595,1595,0.89,6077,43,0.33,1051.58,155368.49,4.20,0.25,115221.02,1067.85,61653.54
8400.00,8700.00,wellawatta_kollupitiya_bus,0,5.50,0,532,AGGREGATED,16,16,0.02,534,76,0.02,400.01,3808.99,5.81,0.35,727.27,457.71,297.00
8400.00,8700.00,wellawatta_kollupitiya_probe,0,0.26,0,68,AGGREGATED,4,4,0.00,67,78,0.00,186.39,185.56,12.85,0.77,25.19,186.06,0.00
8400.00,8700.00,wellawatta_kollupitiya_general,186,67.80,204,19034,AGGREGATED,1121,1121,0.22,19043,78,0.07,178.19,48623.33,13.44,0.81,8479.07,178.82,1570.00
8700.00,9000.00,cross_junction_ratmalana_bus,0,10.44,0,365,AGGREGATED,52,52,0.08,359,45,0.09,1529.26,14311.30,2.99,0.18,8754.76,1627.52,5034.00
8700.00,9000.00,cross_junction_ratmalana_probe,0,1.79,0,66,AGGREGATED,12,12,0.01,67,43,0.01,1460.20,2369.53,3.03,0.18,1926.24,1496.71,1036.00
8700.00,9000.00,cross_junction_ratmalana_general,169,133.50,217,6160,AGGREGATED,1387,1387,1.01,6124,43,0.38,1234.12,176748.97,3.58,0.21,137386.78,1260.81,74207.79
8700.00,9000.00,wellawatta_kollupitiya_bus,0,4.30,0,370,AGGREGATED,7,7,0.01,372,76,0.01,437.76,2977.18,5.31,0.32,623.28,499.40,288.00
8700.00,9000.00,wellawatta_kollupitiya_probe,0,0.61,0,164,AGGREGATED,11,11,0.00,165,78,0.00,186.99,440.15,12.81,0.77,58.03,186.65,4.00
8700.00,9000.00,wellawatta_kollupitiya_general,184,70.52,210,19722,AGGREGATED,1152,1152,0.23,19751,78,0.08,179.30,50570.28,13.35,0.80,8828.96,179.58,1632.00
9000.00,9300.00,cross_junction_ratmalana_bus,0,11.08,0,392,AGGREGATED,64,64,0.08,387,45,0.10,1585.48,15188.74,2.89,0.17,9334.79,1702.08,5255.00
9000.00,9300.00,cross_junction_ratmalana_probe,0,1.73,0,79,AGGREGATED,17,17,0.01,77,43,0.01,1289.31,2290.52,3.43,0.20,1828.28,1325.87,923.00
9000.00,9300.00,cross_junction_ratmalana_general,161,148.25,204,5914,AGGREGATED,1596,1596,1.12,5891,43,0.42,1402.76,196278.48,3.15,0.19,158164.98,1431.68,81257.20
9000.00,9300.00,wellawatta_kollupitiya_bus,0,2.23,0,227,AGGREGATED,2,2,0.01,230,76,0.01,372.26,1545.79,6.24,0.37,136.55,420.87,6.00
9000.00,9300.00,wellawatta_kollupitiya_probe,0,0.01,0,2,AGGREGATED,0,0,0.00,2,78,0.00,184.68,10.30,12.97,0.78,0.79,183.98,0.00
9000.00,9300.00,wellawatta_kollupitiya_general,163,60.65,177,17035,AGGREGATED,982,982,0.19,17046,78,0.07,177.36,43491.10,13.50,0.81,6940.81,177.67,1159.00
9300.00,9600.00,cross_junction_ratmalana_bus,0,12.34,0,410,AGGREGATED,50,50,0.09,412,45,0.10,1599.85,16905.18,2.86,0.17,10740.49,1699.28,6226.00
9300.00,9600.00,cross_junction_ratmalana_probe,0,1.92,0,76,AGGREGATED,24,24,0.01,79,43,0.01,1353.71,2536.94,3.26,0.19,2022.24,1371.62,967.00
9300.00,9600.00,cross_junction_ratmalana_general,156,161.27,205,6022,AGGREGATED,1603,1603,1.22,6031,43,0.45,1478.64,213508.56,2.99,0.18,174214.33,1506.58,90351.70
9300.00,9600.00,wellawatta_kollupitiya_bus,0,2.23,0,203,AGGREGATED,4,4,0.01,205,76,0.01,411.49,1546.44,5.64,0.34,192.68,470.74,67.00
9300.00,9600.00,wellawatta_kollupitiya_probe,0,0.17,0,45,AGGREGATED,5,5,0.00,44,78,0.00,193.28,121.99,12.39,0.74,31.42,194.89,3.00
9300.00,9600.00,wellawatta_kollupitiya_general,167,61.83,204,17653,AGGREGATED,917,917,0.20,17705,78,0.07,176.16,44339.99,13.59,0.82,7090.61,176.50,1289.00
9600.00,9900.00,cross_junction_ratmalana_bus,0,12.51,0,360,AGGREGATED,101,101,0.09,355,45,0.11,1788.66,17141.56,2.56,0.15,11357.62,1905.71,7113.00
9600.00,9900.00,cross_junction_ratmalana_probe,0,2.05,0,65,AGGREGATED,14,14,0.02,63,43,0.01,1981.97,2719.84,2.23,0.13,2371.10,1985.34,1287.00
9600.00,9900.00,cross_junction_ratmalana_general,157,179.51,221,5739,AGGREGATED,1643,1644,1.36,5682,43,0.51,1701.10,237653.33,2.60,0.16,199383.38,1733.10,107247.23
9600.00,9900.00,wellawatta_kollupitiya_bus,0,3.42,0,372,AGGREGATED,12,12,0.01,366,76,0.01,351.28,2371.25,6.61,0.40,273.04,393.80,69.00
9600.00,9900.00,wellawatta_kollupitiya_probe,0,0.13,0,40,AGGREGATED,1,1,0.00,40,78,0.00,155.54,95.57,15.40,0.92,8.29,155.28,0.00
9600.00,9900.00,wellawatta_kollupitiya_general,173,62.50,197,17985,AGGREGATED,1100,1100,0.20,18014,78,0.07,174.80,44819.45,13.70,0.82,6939.75,175.15,1202.00
9900.00,10200.00,cross_junction_ratmalana_bus,0,13.61,0,327,AGGREGATED,56,56,0.10,321,45,0.12,2238.61,18651.56,2.05,0.12,13821.11,2384.27,9711.00
9900.00,10200.00,cross_junction_ratmalana_probe,0,2.00,0,58,AGGREGATED,17,17,0.02,56,43,0.01,1692.74,2646.42,2.61,0.16,2229.95,1730.86,1097.08
9900.00,10200.00,cross_junction_ratmalana_general,180,198.09,211,5685,AGGREGATED,1409,1409,1.50,5683,43,0.56,1848.29,262253.79,2.39,0.14,223677.50,1886.75,126053.10
9900.00,10200.00,wellawatta_kollupitiya_bus,0,4.51,0,478,AGGREGATED,10,10,0.01,476,76,0.01,354.74,3127.62,6.55,0.39,583.63,394.50,209.00
9900.00,10200.00,wellawatta_kollupitiya_probe,0,0.40,0,107,AGGREGATED,11,11,0.00,107,78,0.00,186.95,288.34,12.81,0.77,80.09,188.83,22.00
9900.00,10200.00,wellawatta_kollupitiya_general,188,68.04,194,19282,AGGREGATED,1150,1150,0.22,19270,78,0.07,177.16,48794.07,13.51,0.81,8251.43,177.61,1517.00
10200.00,10500.00,cross_junction_ratmalana_bus,0,14.07,0,331,AGGREGATED,53,53,0.10,328,45,0.12,2304.66,19280.28,1.99,0.12,14410.97,2467.51,10468.00
10200.00,10500.00,cross_junction_ratmalana_probe,0,2.26,0,65,AGGREGATED,15,15,0.02,65,43,0.01,1941.40,2986.54,2.28,0.14,2535.77,1986.65,1411.00
10200.00,10500.00,cross_junction_ratmalana_general,160,209.66,214,6021,AGGREGATED,1555,1555,1.59,6003,43,0.58,1893.52,277576.18,2.33,0.14,237602.51,1933.33,131078.15
10200.00,10500.00,wellawatta_kollupitiya_bus,0,4.49,0,472,AGGREGATED,6,6,0.01,479,76,0.01,367.71,3109.98,6.32,0.38,586.99,416.63,237.00
