,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime,rand_seed
89,10200.0,10500.0,cross_junction_ratmalana_probe,0.0,1.52,0.0,81.0,AGGREGATED,27.0,27.0,0.01,79.0,43.0,0.0,1048.18,2011.91,4.21,0.25,1451.78,1068.21,402.0,14762
90,10200.0,10500.0,wellawatta_kollupitiya_bus,0.0,4.69,0.0,409.0,AGGREGATED,5.0,5.0,0.02,412.0,76.0,0.01,431.86,3247.8,5.38,0.32,823.14,486.62,379.0,14762
91,10200.0,10500.0,wellawatta_kollupitiya_probe,0.0,0.26,0.0,62.0,AGGREGATED,3.0,3.0,0.0,62.0,78.0,0.0,213.41,184.32,11.22,0.67,53.91,217.1,17.0,14762
92,10500.0,10800.0,cross_junction_ratmalana_bus,0.0,10.54,0.0,353.0,AGGREGATED,58.0,58.0,0.08,364.0,45.0,0.09,1504.33,14442.1,3.04,0.18,8649.22,1585.95,4766.0,14762
93,10500.0,10800.0,cross_junction_ratmalana_probe,0.0,1.44,0.0,62.0,AGGREGATED,22.0,22.0,0.01,62.0,43.0,0.0,1386.23,1912.19,3.19,0.19,1539.65,1415.1,501.0,14762
94,10500.0,10800.0,wellawatta_kollupitiya_bus,0.0,2.58,0.0,241.0,AGGREGATED,1.0,1.0,0.01,244.0,76.0,0.01,406.92,1789.4,5.71,0.34,276.82,464.68,89.0,14762
95,10500.0,10800.0,wellawatta_kollupitiya_probe,,,,,,,,,,,,,,,,,,,14762
96,10800.0,11100.0,cross_junction_ratmalana_bus,0.0,10.75,0.0,377.0,AGGREGATED,48.0,48.0,0.08,369.0,45.0,0.09,1495.32,14734.03,3.06,0.18,8607.73,1567.96,4104.0,14762
97,10800.0,11100.0,cross_junction_ratmalana_probe,0.0,1.53,0.0,73.0,AGGREGATED,21.0,21.0,0.01,75.0,43.0,0.0,1066.52,2023.16,4.14,0.25,1500.95,1083.42,436.0,14762
98,10800.0,11100.0,wellawatta_kollupitiya_bus,0.0,0.86,0.0,72.0,AGGREGATED,1.0,1.0,0.0,75.0,76.0,0.0,437.99,595.47,5.3,0.32,89.11,505.93,39.0,14762
99,10800.0,11100.0,wellawatta_kollupitiya_probe,,,,,,,,,,,,,,,,,,,14762
100,11100.0,11400.0,cross_junction_ratmalana_bus,0.0,10.82,0.0,345.0,AGGREGATED,55.0,55.0,0.08,341.0,45.0,0.09,1635.32,14830.67,2.8,0.17,9153.74,1732.85,4999.0,14762
101,11100.0,11400.0,cross_junction_ratmalana_probe,0.0,1.77,0.0,70.0,AGGREGATED,14.0,14.0,0.01,67.0,43.0,0.01,1451.01,2346.8,3.04,0.18,1898.02,1470.78,767.0,14762
102,11100.0,11400.0,wellawatta_kollupitiya_bus,0.0,0.51,0.0,67.0,AGGREGATED,0.0,0.0,0.0,65.0,76.0,0.0,278.53,355.09,8.34,0.5,44.25,299.84,7.0,14762
103,11100.0,11400.0,wellawatta_kollupitiya_probe,0.0,0.03,0.0,8.0,AGGREGATED,1.0,1.0,0.0,7.0,78.0,0.0,176.74,20.99,13.55,0.81,1.68,176.19,0.0,14762
104,11400.0,11700.0,cross_junction_ratmalana_bus,0.0,11.78,0.0,454.0,AGGREGATED,55.0,55.0,0.09,452.0,45.0,0.1,1419.84,16148.75,3.23,0.19,9293.81,1493.91,4919.0,14762
105,11400.0,11700.0,cross_junction_ratmalana_probe,0.0,1.75,0.0,65.0,AGGREGATED,17.0,17.0,0.01,67.0,43.0,0.01,1596.71,2312.74,2.77,0.17,1900.67,1625.51,668.0,14762
106,11400.0,11700.0,wellawatta_kollupitiya_bus,0.0,1.36,0.0,171.0,AGGREGATED,0.0,0.0,0.0,171.0,76.0,0.0,300.75,943.61,7.72,0.46,120.72,334.61,20.0,14762
107,11400.0,11700.0,wellawatta_kollupitiya_probe,0.0,0.29,0.0,70.0,AGGREGATED,4.0,4.0,0.0,71.0,78.0,0.0,202.09,205.03,11.85,0.71,40.06,203.01,3.0,14762
108,11700.0,12000.0,cross_junction_ratmalana_bus,0.0,11.98,0.0,374.0,AGGREGATED,46.0,46.0,0.09,377.0,45.0,0.1,1597.65,16415.31,2.87,0.17,10009.78,1695.15,5777.0,14762
109,11700.0,12000.0,cross_junction_ratmalana_probe,0.0,1.83,0.0,78.0,AGGREGATED,9.0,9.0,0.01,77.0,43.0,0.01,1215.16,2427.92,3.64,0.22,1858.6,1241.55,722.0,14762
110,11700.0,12000.0,wellawatta_kollupitiya_bus,0.0,0.53,0.0,63.0,AGGREGATED,0.0,0.0,0.0,66.0,76.0,0.0,336.4,367.41,6.9,0.41,66.52,377.7,6.0,14762
111,11700.0,12000.0,wellawatta_kollupitiya_probe,0.0,0.09,0.0,24.0,AGGREGATED,0.0,0.0,0.0,23.0,78.0,0.0,177.28,67.2,13.51,0.81,4.95,177.01,0.0,14762
112,12000.0,12300.0,cross_junction_ratmalana_bus,0.0,11.91,0.0,281.0,AGGREGATED,33.0,33.0,0.09,278.0,45.0,0.1,2228.03,16320.2,2.06,0.12,11374.1,2389.36,7592.0,14762
113,12000.0,12300.0,cross_junction_ratmalana_probe,0.0,1.94,0.0,66.0,AGGREGATED,19.0,19.0,0.01,65.0,43.0,0.01,1598.09,2570.31,2.76,0.17,2119.74,1635.09,781.0,14762
114,12000.0,12300.0,wellawatta_kollupitiya_bus,0.0,1.13,0.0,91.0,AGGREGATED,2.0,2.0,0.0,88.0,76.0,0.0,460.83,784.34,5.04,0.3,103.6,533.41,39.0,14762
115,12000.0,12300.0,wellawatta_kollupitiya_probe,0.0,0.48,0.0,129.0,AGGREGATED,4.0,4.0,0.0,129.0,78.0,0.0,187.71,342.54,12.76,0.77,69.89,186.9,0.0,14762
116,12300.0,12600.0,cross_junction_ratmalana_bus,0.0,12.5,0.0,318.0,AGGREGATED,34.0,34.0,0.09,316.0,45.0,0.11,2102.23,17135.76,2.18,0.13,12070.9,2247.0,8004.0,14762
117,12300.0,12600.0,cross_junction_ratmalana_probe,0.0,1.92,0.0,74.0,AGGREGATED,24.0,24.0,0.01,73.0,43.0,0.01,1493.73,2545.09,2.96,0.18,2079.67,1526.18,849.0,14762
118,12300.0,12600.0,wellawatta_kollupitiya_bus,0.0,2.98,0.0,305.0,AGGREGATED,2.0,2.0,0.01,302.0,76.0,0.01,364.91,2064.44,6.36,0.38,339.22,411.01,96.0,14762
119,12300.0,12600.0,wellawatta_kollupitiya_probe,0.0,0.55,0.0,143.0,AGGREGATED,7.0,7.0,0.0,143.0,78.0,0.0,189.24,391.89,12.65,0.76,87.37,190.34,7.0,14762
120,12600.0,12900.0,cross_junction_ratmalana_bus,0.0,13.4,0.0,387.0,AGGREGATED,57.0,57.0,0.1,386.0,45.0,0.11,1895.15,18358.55,2.42,0.14,12178.04,2028.29,7929.0,14762
121,12600.0,12900.0,cross_junction_ratmalana_probe,0.0,2.04,0.0,85.0,AGGREGATED,17.0,17.0,0.02,84.0,43.0,0.01,1266.52,2703.73,3.49,0.21,2120.54,1290.73,834.0,14762
122,12600.0,12900.0,wellawatta_kollupitiya_bus,0.0,3.74,0.0,359.0,AGGREGATED,4.0,4.0,0.01,360.0,76.0,0.01,408.76,2594.67,5.68,0.34,605.38,459.76,204.0,14762
123,12600.0,12900.0,wellawatta_kollupitiya_probe,0.0,0.07,0.0,16.0,AGGREGATED,1.0,1.0,0.0,17.0,78.0,0.0,182.85,48.54,13.1,0.79,6.67,180.27,0.0,14762
124,12900.0,13200.0,cross_junction_ratmalana_bus,0.0,13.75,0.0,305.0,AGGREGATED,29.0,29.0,0.1,306.0,45.0,0.12,2321.1,18842.53,1.97,0.12,13766.03,2494.03,9520.0,14762
125,12900.0,13200.0,cross_junction_ratmalana_probe,0.0,1.95,0.0,75.0,AGGREGATED,20.0,20.0,0.01,76.0,43.0,0.01,1478.79,2577.39,2.99,0.18,2109.16,1515.34,903.0,14762
126,12900.0,13200.0,wellawatta_kollupitiya_bus,0.0,2.34,0.0,239.0,AGGREGATED,2.0,2.0,0.01,238.0,76.0,0.01,359.99,1624.51,6.45,0.39,222.75,403.3,49.0,14762
127,12900.0,13200.0,wellawatta_kollupitiya_probe,,,,,,,,,,,,,,,,,,,14762
128,13200.0,13500.0,cross_junction_ratmalana_bus,0.0,14.05,0.0,272.0,AGGREGATED,39.0,39.0,0.1,260.0,45.0,0.12,2996.47,19252.82,1.53,0.09,15213.19,3260.32,12067.0,14762
