interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
8400.00,8700.00,wellawatta_kollupitiya_all,245,59.74,370,15502,AGGREGATED,974,974,0.20,15633,76,0.07,176.03,41407.66,13.15,0.79,7870.37,176.84,1060.00
8700.00,9000.00,cross_junction_ratmalana_all,211,112.11,289,5569,AGGREGATED,1563,1563,0.84,5652,45,0.36,1166.93,153631.67,3.92,0.23,115249.50,1187.86,38846.16
8700.00,9000.00,wellawatta_kollupitiya_all,216,55.74,360,15197,AGGREGATED,840,840,0.18,15349,76,0.06,170.54,38637.25,13.57,0.81,6478.61,170.92,667.00
9000.00,9300.00,cross_junction_ratmalana_all,199,110.24,292,5320,AGGREGATED,1779,1779,0.82,5430,45,0.35,1175.15,151073.66,3.89,0.23,113488.34,1194.29,37318.97
9000.00,9300.00,wellawatta_kollupitiya_all,227,53.01,361,14410,AGGREGATED,766,766,0.17,14550,76,0.06,170.57,36743.18,13.57,0.81,6338.42,170.88,796.00
9300.00,9600.00,cross_junction_ratmalana_all,187,110.98,264,5046,AGGREGATED,1477,1477,0.83,5126,45,0.35,1309.02,152092.98,3.49,0.21,118127.32,1338.43,60547.34
9300.00,9600.00,wellawatta_kollupitiya_all,248,56.97,363,15468,AGGREGATED,924,924,0.19,15575,76,0.06,169.81,39485.88,13.63,0.82,6699.83,170.55,1011.00
9600.00,9900.00,cross_junction_ratmalana_all,192,99.69,293,5087,AGGREGATED,1559,1559,0.74,5231,45,0.32,1106.98,136613.29,4.13,0.25,100217.56,1126.65,41545.78
9600.00,9900.00,wellawatta_kollupitiya_all,207,54.81,325,14679,AGGREGATED,860,860,0.18,14815,76,0.07,172.53,37993.09,13.42,0.80,6732.93,173.25,781.00
9900.00,10200.00,cross_junction_ratmalana_all,194,100.50,309,5164,AGGREGATED,1652,1652,0.75,5265,45,0.32,1104.54,137721.28,4.14,0.25,101214.86,1119.73,43852.00
9900.00,10200.00,wellawatta_kollupitiya_all,239,54.80,340,14943,AGGREGATED,879,879,0.18,15035,76,0.06,171.87,37985.05,13.47,0.81,6629.99,172.36,920.00
10200.00,10500.00,cross_junction_ratmalana_all,178,101.35,276,5297,AGGREGATED,1739,1739,0.76,5413,45,0.31,1095.15,138890.32,4.18,0.25,101540.67,1113.36,47242.73
10200.00,10500.00,wellawatta_kollupitiya_all,237,54.18,357,15198,AGGREGATED,832,832,0.18,15324,76,0.06,165.85,37554.75,13.95,0.84,5578.77,166.02,528.00
10500.00,10800.00,cross_junction_ratmalana_all,204,98.71,297,5188,AGGREGATED,1773,1773,0.74,5277,45,0.30,1089.91,135276.50,4.20,0.25,99360.69,1104.77,45367.00
10500.00,10800.00,wellawatta_kollupitiya_all,210,53.51,329,14556,AGGREGATED,827,827,0.18,14662,76,0.06,171.89,37091.92,13.46,0.81,6325.00,172.61,732.00
