interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
3600.00,7200.00,ed_bus_speed,0,2.96,0,67,WK_MP_028,0,0,0.74,68,0.38,1.42,96.26,14.80,0.89,10.83,0.61,0.00
3600.00,7200.00,ed_bus_speed,0,4.67,0,68,WK_MP_029,0,0,1.17,68,0.38,1.12,76.33,14.73,0.88,8.86,0.31,0.00
3600.00,7200.00,ed_bus_speed,0,3.55,0,68,WK_MP_030,0,0,0.89,68,0.40,1.33,90.38,14.36,0.86,12.55,0.49,0.00
3600.00,7200.00,ed_bus_speed,0,4.19,0,68,WK_MP_031,0,0,1.05,68,0.39,1.18,80.49,14.65,0.88,9.75,0.36,0.00
3600.00,7200.00,ed_bus_speed,0,1.90,0,68,WK_MP_032,0,0,0.47,68,0.39,2.65,180.37,14.48,0.87,23.73,1.82,0.00
3600.00,7200.00,ed_bus_speed,0,2.47,0,68,WK_MP_033,0,0,0.62,68,0.40,1.86,126.65,14.10,0.85,19.53,1.01,0.00
3600.00,7200.00,ed_bus_speed,0,6.72,0,68,WK_MP_034,2,2,1.68,70,1.96,35.73,2448.37,3.17,0.19,737.07,34.50,81.00
3600.00,7200.00,ed_bus_speed,0,4.21,0,70,WK_MP_035,0,0,1.05,70,0.50,1.70,119.19,11.66,0.70,35.79,0.72,0.00
3600.00,7200.00,ed_bus_speed,0,1.57,0,70,WK_MP_036,1,1,0.39,70,0.39,4.82,337.35,14.85,0.89,36.90,4.03,0.00
3600.00,7200.00,ed_bus_speed,0,2.01,0,70,WK_MP_037,1,1,0.50,70,0.48,4.41,308.65,12.39,0.74,79.16,3.43,14.00
3600.00,7200.00,ed_bus_speed,0,3.69,0,70,WK_MP_038,0,0,0.92,70,0.88,5.06,354.35,7.65,0.46,191.80,3.90,85.00
3600.00,7200.00,ed_bus_speed,0,3.06,0,70,WK_MP_039,0,0,0.76,70,0.41,1.52,106.63,14.24,0.85,15.55,0.69,0.00
3600.00,7200.00,ed_bus_speed,0,1.88,0,70,WK_MP_040,0,0,0.47,70,0.42,3.43,240.23,13.87,0.83,40.40,2.53,0.00
3600.00,7200.00,ed_bus_speed,0,3.37,0,70,WK_MP_041,0,0,0.84,70,0.58,2.94,205.78,9.85,0.59,84.13,1.41,22.00
3600.00,7200.00,ed_bus_speed,0,10.29,0,70,WK_MP_042,0,0,2.57,70,2.76,17.95,1256.91,2.56,0.15,1063.96,15.80,616.00
3600.00,7200.00,ed_bus_speed,0,39.48,0,71,WK_MP_043,0,0,9.87,71,10.91,29.60,2046.56,0.89,0.05,512.20,25.86,26.00
3600.00,7200.00,ed_bus_speed,0,5.46,0,71,WK_MP_044,0,0,1.36,71,0.70,2.55,181.31,8.31,0.50,90.89,1.28,0.00
3600.00,7200.00,ed_bus_speed,0,1.56,0,71,WK_MP_045,4,4,0.39,71,0.41,7.15,507.27,14.29,0.86,72.40,6.34,0.00
3600.00,7200.00,ed_bus_speed,0,1.60,0,71,WK_MP_046,4,4,0.40,71,0.39,4.45,315.32,15.02,0.90,26.73,3.59,0.00
3600.00,7200.00,ed_bus_speed,0,1.43,0,68,WK_MP_047,0,0,0.36,69,0.39,11.87,810.94,14.32,0.86,114.12,10.62,0.00
3600.00,7200.00,ed_bus_speed,0,15.28,0,69,WK_MP_048,1,1,3.82,69,4.33,32.51,2242.25,1.62,0.10,623.17,31.01,72.00
3600.00,7200.00,ed_bus_speed,0,2.32,0,69,WK_MP_049,0,0,0.58,69,0.47,3.06,210.80,12.20,0.73,56.58,2.20,0.00
3600.00,7200.00,ed_bus_speed,0,2.55,0,69,WK_MP_050,0,0,0.64,69,0.38,1.55,107.21,15.25,0.91,9.11,0.78,0.00
3600.00,7200.00,ed_bus_speed,0,1.93,0,69,WK_MP_051,0,0,0.48,69,0.38,2.23,153.81,15.34,0.92,12.30,1.45,0.00
3600.00,7200.00,ed_bus_speed,0,2.99,0,69,WK_MP_052,0,0,0.75,68,0.74,5.16,354.25,8.70,0.52,169.32,4.06,93.00
3600.00,7200.00,ed_bus_speed,0,3.80,0,68,WK_MP_053,0,0,0.95,68,0.59,2.12,144.25,10.63,0.64,52.30,1.13,10.00
3600.00,7200.00,ed_bus_speed,0,4.91,0,68,WK_MP_054,0,0,1.23,68,1.07,3.87,262.93,6.95,0.42,153.24,2.71,90.00
3600.00,7200.00,ed_bus_speed,0,17.84,0,68,WK_MP_055,0,0,4.46,68,2.10,5.80,394.42,3.13,0.19,320.42,4.26,204.00
3600.00,7200.00,ed_bus_speed,0,24.90,0,68,WK_MP_056,0,0,6.23,69,6.85,27.99,1914.16,1.19,0.07,524.46,25.40,61.00
3600.00,7200.00,ed_bus_speed,0,7.08,0,69,WK_MP_057,0,0,1.77,69,0.64,1.95,134.41,8.87,0.53,62.92,0.67,0.00
3600.00,7200.00,ed_bus_speed,0,3.76,0,69,WK_MP_058,0,0,0.94,69,0.50,1.87,128.94,11.52,0.69,39.86,0.89,0.00
3600.00,7200.00,ed_bus_speed,0,2.23,0,69,WK_MP_059,0,0,0.56,69,0.39,2.04,140.77,14.49,0.87,18.41,1.24,0.00
3600.00,7200.00,ed_bus_speed,0,1.53,0,69,WK_MP_060,0,0,0.38,69,0.38,4.32,298.33,15.29,0.92,24.77,3.53,0.00
3600.00,7200.00,ed_bus_speed,0,2.35,0,69,WK_MP_061,0,0,0.59,69,0.38,1.72,118.76,15.11,0.91,11.10,0.93,0.00
3600.00,7200.00,ed_bus_speed,0,5.16,0,69,WK_MP_062,0,0,1.29,69,1.31,11.70,808.20,4.75,0.28,578.06,9.27,301.00
3600.00,7200.00,ed_bus_speed,0,39.20,0,70,WK_MP_063,0,0,9.80,70,10.89,29.05,2018.21,0.91,0.05,462.70,26.35,25.00
3600.00,7200.00,ed_bus_speed,0,3.70,0,71,WK_MP_064,0,0,0.93,71,0.60,2.75,195.14,9.70,0.58,81.64,1.67,0.00
3600.00,7200.00,ed_bus_speed,0,4.24,0,71,WK_MP_065,0,0,1.06,71,0.44,1.37,97.35,13.40,0.80,19.10,0.50,0.00
3600.00,7200.00,ed_bus_speed,0,1.76,0,71,WK_MP_066,0,0,0.44,71,0.38,2.91,206.45,15.36,0.92,16.24,2.14,0.00
3600.00,7200.00,ed_bus_speed,0,1.78,0,71,WK_MP_067,0,0,0.45,71,0.38,2.68,190.19,15.55,0.93,12.76,1.91,0.00
